report_id,file,rVSM_similarity,collab_filter,classname_similarity,bug_recency,bug_frequency,dnn_relevancy_score,match
107,java/org/apache/catalina/mbeans/JmxRemoteLifecycleListener.java,0.9999999999999997,0.16376049686160943,0.0,0.038461538461538464,0.04878048780487805,1.0,1
108,test/org/apache/tomcat/websocket/pojo/TestEncodingDecoding.java,0.9999999999999998,0.14604857553478837,0.6060606060606061,1.0,0.04878048780487805,0.8164357913345613,1
109,java/org/apache/catalina/valves/AccessLogValve.java,0.5314545046607819,0.05028136038748867,0.0,0.25,0.36585365853658536,0.9109061219009915,1
109,java/org/apache/coyote/Response.java,0.2940917371109075,0.07803958495634707,0.0,0.022727272727272728,0.024390243902439025,0.9407096257036388,1
110,java/org/apache/catalina/core/StandardService.java,0.2998684893873177,0.07527855233363108,0.0,0.02857142857142857,0.07317073170731708,0.9087165305835843,1
110,java/org/apache/catalina/startup/Catalina.java,0.4857942197471935,0.08224036616820919,0.0,0.058823529411764705,0.2682926829268293,0.9685736576270507,1
111,java/org/apache/tomcat/websocket/WsRemoteEndpointImplBase.java,0.5506362654271889,0.23069597105218628,0.0,0.25,0.024390243902439025,0.9135007430458768,1
111,java/org/apache/tomcat/websocket/WsRemoteEndpointImplClient.java,0.0,0.0,0.0,0.0,0.0,0.7407496944696647,1
111,java/org/apache/tomcat/websocket/WsSession.java,0.13262713665944634,0.3129693411266486,0.0,0.25,0.024390243902439025,0.9389808748245179,1
111,java/org/apache/tomcat/websocket/WsWebSocketContainer.java,0.2837548295807935,0.046576149057079914,0.0,0.3333333333333333,0.04878048780487805,0.9170536902642671,1
111,java/org/apache/tomcat/websocket/server/WsHttpUpgradeHandler.java,0.38449392874787786,0.0,0.0,0.0,0.0,0.9183792599769609,1
111,java/org/apache/tomcat/websocket/server/WsRemoteEndpointImplServer.java,0.3151350547438375,0.0,0.0,0.0,0.0,0.9611048568536374,1
111,test/org/apache/tomcat/websocket/pojo/TestEncodingDecoding.java,0.7006369978102897,0.06114105740357731,0.0,0.25,0.024390243902439025,0.8959873459258835,1
112,java/org/apache/tomcat/websocket/pojo/PojoMethodMapping.java,0.6612612800911659,0.047122423716915565,0.0,0.25,0.024390243902439025,0.9302212805522698,1
113,java/org/apache/catalina/authenticator/BasicAuthenticator.java,0.9886100416316196,0.08136012556156039,0.5454545454545454,0.029411764705882353,0.024390243902439025,0.9467100289556255,1
113,test/org/apache/catalina/authenticator/TestNonLoginAndBasicAuthenticator.java,0.9549893821909434,0.8658888452182246,0.0,0.0625,0.024390243902439025,0.9642652773637058,1
114,java/org/apache/tomcat/util/scan/StandardJarScanner.java,0.9999999999999998,0.2693900847657124,0.0,0.04,0.024390243902439025,0.9687864108037966,1
115,java/org/apache/catalina/core/StandardContext.java,0.5768502838112616,0.1167051701769726,0.0,0.08333333333333333,0.9024390243902439,0.9688145250474864,1
116,java/org/apache/jasper/compiler/Validator.java,0.9999999999999998,0.10223558519903446,0.0,0.02564102564102564,0.1951219512195122,0.9583810208106754,1
117,java/org/apache/catalina/tribes/tipis/AbstractReplicatedMap.java,0.8383537299737978,0.1646478606749962,0.6363636363636364,0.06666666666666667,0.2682926829268293,0.9775618862327058,1
118,java/org/apache/catalina/servlets/WebdavServlet.java,0.8109091002588229,0.4610039216004422,0.3939393939393939,0.04,0.1951219512195122,0.882305637425152,1
119,test/org/apache/catalina/authenticator/TestNonLoginAndBasicAuthenticator.java,0.9999999999999998,0.7166591226470852,1.0,1.0,0.04878048780487805,1.0,1
119,test/org/apache/tomcat/websocket/TestWsWebSocketContainer.java,0.2324815667273991,0.03135340004143498,0.0,0.25,0.04878048780487805,0.945540720456638,1
120,java/org/apache/juli/ClassLoaderLogManager.java,0.8542305674209045,0.36891910431900804,0.6363636363636364,0.023255813953488372,0.12195121951219512,0.9842170168278948,1
121,java/org/apache/catalina/filters/CorsFilter.java,0.78361567578376,0.0,0.0,0.0,0.0,0.8190144984200965,1
121,test/org/apache/catalina/filters/TestCorsFilter.java,0.9999999999999998,0.0,0.0,0.0,0.0,0.7652914339285788,1
121,test/org/apache/catalina/filters/TesterFilterChain.java,0.2597309356117119,0.0,0.0,0.0,0.0,0.7318174610024962,1
